id;crut;clin;cter;creg;ccendis;ccono;care;czon;npdv;crutdis;tdes;csisven;ncompvt;ctipmod;cdis;cuser;cidpr;fupgr;tupgr;created_at;updated_at;dia_visita;vendedor_id;empresa_id;lista_precio_id;dia
68;67;3;7;7;7;7;1;183;309;1;CARAPONGO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;27;1;1;5
73;134;3;7;7;7;7;1;183;124;1;GLORIA-CAJAMARQUILLA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;27;1;1;2
88;73;3;7;7;7;7;1;183;185;1;CERRO CAMOTE-SANTA C;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;27;1;1;3
89;74;3;7;7;7;7;1;183;253;1;CAMPOY CALLE 8;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;27;1;1;6
116;109;3;7;7;7;7;1;183;0;1;LA ERA-CARAPONGO;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;-;#N/D;#N/D;#N/D;#N/D
143;138;3;7;7;7;7;1;183;137;1;HUAYARINGA-ÑAÑA;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;27;1;1;1
12155;157;3;7;7;7;7;1;183;39;1;LA CAMPIÑA;100;0;1;53;SISTEMA2;PF7PVI19   M;9/09/2024;08:42:25;30/12/2024 16:45;30/12/2024 16:45;-;#N/D;#N/D;#N/D;#N/D
42601;183;3;7;7;7;7;1;183;70;1;MERCADOS-LUIS SANCHE;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;27;1;2;6
43758;188;3;7;7;7;7;1;183;1;1;ÑAÑA;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;-;#N/D;#N/D;#N/D;#N/D
150;153;3;7;7;7;7;1;193;191;1;SANTA CLARA-MAILY;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;28;1;1;3
